Hauljoin, Pred_nodc, Pred_specn, Prey_nodc, Pred_len, Year, Month, day, region, Pred_name,.Prey_Name, Vessel, Cruise, Haul, Rlat, Rlong, Gear_depth, Bottom_depth, Start_hour, Surface_temp, Gear_temp, INPFC_Area, Stationid, Start_date, Prey_sz1, Prey_sex
11011571,8857040102,14,8791030701,50,1990,7,11,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,134,56.35,-157.28,119,119,11,10.4,,620,154-96,7/11/90 0:00,145,6
11012351,8857040102,6,8791030701,53,1990,7,16,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,159,56.01,-154.29,137,137,13,10.4,,620,190-88,7/16/90 0:00,218,7
11012351,8857040102,16,8791030701,55,1990,7,16,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,159,56.01,-154.29,137,137,13,10.4,,620,190-88,7/16/90 0:00,256,7
11012356,8857040102,14,8791030701,50,1990,7,17,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,165,56.29,-155.58,66,66,13,9.9,,620,175-95,7/17/90 0:00,230,7
11012361,8857040102,5,8791030701,45,1990,7,18,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,170,56.74,-155.31,179,179,12,10.9,,620,178-105,7/18/90 0:00,230,8
11012361,8857040102,6,8791030701,47,1990,7,18,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,170,56.74,-155.31,179,179,12,10.9,,620,178-105,7/18/90 0:00,239,8
11012361,8857040102,12,8791030701,49,1990,7,18,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,170,56.74,-155.31,179,179,12,10.9,,620,178-105,7/18/90 0:00,277,8
11012361,8857040102,12,8791030701,49,1990,7,18,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,170,56.74,-155.31,179,179,12,10.9,,620,178-105,7/18/90 0:00,233,8
11012361,8857040102,13,8791030701,55,1990,7,18,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,170,56.74,-155.31,179,179,12,10.9,,620,178-105,7/18/90 0:00,239,8
11012365,8857040102,9,8747010201,40,1990,7,25,GOA,Atheresthes stomias (arrowtooth flounder),Pacific.herring.Clupea.pallasii,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,180,3
11012365,8857040102,11,8857040601,62,1990,7,25,GOA,Atheresthes stomias (arrowtooth flounder),Flathead.sole.Hippoglossoides.elassodon,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,130,3
11012365,8857040102,15,8791030701,44,1990,7,25,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,245,8
11012366,8857040102,13,8791030701,45,1990,7,25,GOA,Atheresthes stomias (arrowtooth flounder),Walleye.pollock.Gadus.chalcogrammus,19,199001,175,57.14,-152.61,110,110,11,12.1,,630,211-114,7/25/90 0:00,262,7
11012608,8857040102,6,8842120000,36,1990,7,29,GOA,Atheresthes stomias (arrowtooth flounder),Stichaeidae..prickleback..,19,199001,192,56.9,-152.44,155,155,15,,,630,213-108,7/29/90 0:00,90,
11012608,8857040102,6,8842120000,36,1990,7,29,GOA,Atheresthes stomias (arrowtooth flounder),Stichaeidae..prickleback..,19,199001,192,56.9,-152.44,155,155,15,,,630,213-108,7/29/90 0:00,120,
11012608,8857040102,8,8842121201,51,1990,7,29,GOA,Atheresthes stomias (arrowtooth flounder),Whitebarred.prickleback.Poroclinus.rothrocki,19,199001,192,56.9,-152.44,155,155,15,,,630,213-108,7/29/90 0:00,170,
