Hauljoin,Pred_nodc,Pred_specn,Prey_nodc,Pred_len,Year,Month,day,region,Pred_name,Prey_Name,Vessel,Cruise,Haul,Rlat,Rlong,Gear_depth,Bottom_depth,Start_hour,Surface_temp,Gear_temp,INPFC_Area,Stationid,Start_date,Prey_sz1,Prey_sex
11011568,8791030401,10,6187010302,70,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,12.5,3
11011568,8791030401,10,6187010302,70,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,13.3,1
11011568,8791030401,10,6187010302,70,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,12.5,1
11011568,8791030401,10,6187010302,70,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,12.5,2
11011568,8791030401,11,6187010302,65,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,25.4,1
11011568,8791030401,11,6187010302,65,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,39,2
11011568,8791030401,11,6187010302,65,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,26.7,2
11011568,8791030401,11,6187010302,65,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,25.1,3
11011568,8791030401,11,6187010302,65,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,27.7,3
11011568,8791030401,11,6187010302,65,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,24.6,1
11011568,8791030401,12,6187010302,59,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,17.8,3
11011568,8791030401,13,6187010302,51,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,16.4,2
11011568,8791030401,13,6187010302,51,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,18.2,1
11011568,8791030401,13,8842120000,51,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Stichaeidae (prickleback) ,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,83,3
11011568,8791030401,15,8857040601,49,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Flathead sole Hippoglossoides elassodon,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,42,3
11011568,8791030401,15,8842120000,49,1990,7,8,GOA,Gadus macrocephalus (Pacific cod),Stichaeidae (prickleback) ,19,199001,130,56.25,-158.17,112,112,9,10.9,5.4,620,143-94,7/8/90 0:00,20,3
11012577,8791030401,7,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,19,2
11012577,8791030401,7,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,18,2
11012577,8791030401,7,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,18,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,17,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,17,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,17,1
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,18,1
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,16,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,18,1
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,17,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,18,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,21,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,15,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,20,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,23,2
11012577,8791030401,8,6187010302,57,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,19,1
11012577,8791030401,9,6187010302,52,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,17,1
11012577,8791030401,9,6187010302,52,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,21,1
11012577,8791030401,9,6187010302,52,1993,6,6,GOA,Gadus macrocephalus (Pacific cod),Tanner crab Chionoecetes bairdi,90,199301,5,53.01,-168.37,95,95,19,7.1,5.2,610,20-17,6/6/93 0:00,19,2
