Hauljoin,Pred_nodc,Pred_specn,Prey_nodc,Pred_len,Year,Month,day,region,Pred_name,.Prey_Name,Vessel,Cruise,Haul,Rlat,Rlong,Gear_depth,Bottom_depth,Start_hour,Surface_temp,Gear_temp,INPFC_Area,Stationid,Start_date,Prey_sz1,Prey_sex
11012365,8857041901,1,6187010302,86,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,36.3,1
11012365,8857041901,1,6187010302,86,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,35.5,1
11012365,8857041901,1,6187010302,86,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,38,1
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,39.9,1
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,25.4,2
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,38.4,1
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,33.4,2
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,26,2
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,36.4,2
11012365,8857041901,2,6187010302,81,1990,7,25,GOA,Hippoglossus stenolepis (Pacific halibut),Tanner.crab.Chionoecetes.bairdi,19,199001,174,57.41,-152.62,101,101,8,12.6,,630,210-120,7/25/90 0:00,40.7,1
