Hauljoin, Pred_nodc, Pred_specn, Prey_nodc, Pred_len, Year, Month, day, region, Pred_name, Prey_Name, Vessel, Cruise, Haul, Rlat, Rlong, Gear_depth, Bottom_depth, Start_hour, Surface_temp, Gear_temp, INPFC_Area, Stationid, Start_date, Prey_sz1, Prey_sex
11012121,8827020101,2,8845010100,77,1990,8,23,GOA,Anoplopoma fimbria (sablefish),Ammodytidae (sandlance) Ammodytes sp.,83,199001,223,58.66,-148.73,203,203,10,13,5.4,630,257-147,8/23/90 0:00,97,3
11012122,8827020101,3,8755030201,63,1990,8,23,GOA,Anoplopoma fimbria (sablefish),Capelin Mallotus villosus,83,199001,224,58.7,-149.06,165,165,15,12.8,5.5,630,253-147,8/23/90 0:00,105.8,3
11012122,8827020101,5,8755030201,72,1990,8,23,GOA,Anoplopoma fimbria (sablefish),Capelin Mallotus villosus,83,199001,224,58.7,-149.06,165,165,15,12.8,5.5,630,253-147,8/23/90 0:00,82,3
11012122,8827020101,7,8791030701,62,1990,8,23,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,224,58.7,-149.06,165,165,15,12.8,5.5,630,253-147,8/23/90 0:00,155,3
11012123,8827020101,1,8755030201,65,1990,8,24,GOA,Anoplopoma fimbria (sablefish),Capelin Mallotus villosus,83,199001,226,58.73,-149.26,157,157,8,12.3,,630,251-148,8/24/90 0:00,95.8,3
11012127,8827020101,1,8755030501,61,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,152,3
11012127,8827020101,1,8755030501,61,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,148,3
11012127,8827020101,2,8791030701,62,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,444.583,8
11012127,8827020101,3,8755030501,67,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,165,3
11012127,8827020101,4,8755030501,69,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,160,3
11012127,8827020101,5,8755030501,77,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,165,3
11012127,8827020101,5,8755030501,77,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,160,3
11012127,8827020101,5,8755030501,77,1990,8,25,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,83,199001,230,58.76,-149.83,194,194,11,13.5,5.5,630,244-149,8/25/90 0:00,164,3
11010822,8827020101,4,8791030701,72,1990,8,26,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,233,58.59,-150.33,165,165,11,13.8,5.4,630,238-145,8/26/90 0:00,418.125,7
11010828,8827020101,1,8791030701,47,1990,8,28,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,239,59.35,-150.52,263,263,12,12.6,5.7,630,236-161,8/28/90 0:00,274.074,7
11010828,8827020101,6,8791030701,62,1990,8,28,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,239,59.35,-150.52,263,263,12,12.6,5.7,630,236-161,8/28/90 0:00,406.366,7
11010828,8827020101,8,8791030701,64,1990,8,28,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,239,59.35,-150.52,263,263,12,12.6,5.7,630,236-161,8/28/90 0:00,403.426,7
11010831,8827020101,2,8791030701,68,1990,8,29,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,242,59.07,-149.49,205,205,7,12.4,5.3,630,248-155,8/29/90 0:00,115,3
11010846,8827020101,1,8747010201,49,1990,9,4,GOA,Anoplopoma fimbria (sablefish),Pacific herring Clupea pallasii,83,199001,261,60.05,-147.23,185,185,15,14.1,5.6,630,276-176,9/4/90 0:00,154,3
11010846,8827020101,2,8747010201,47,1990,9,4,GOA,Anoplopoma fimbria (sablefish),Pacific herring Clupea pallasii,83,199001,261,60.05,-147.23,185,185,15,14.1,5.6,630,276-176,9/4/90 0:00,170,3
11010846,8827020101,9,8791030701,50,1990,9,4,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,261,60.05,-147.23,185,185,15,14.1,5.6,630,276-176,9/4/90 0:00,56,3
11010846,8827020101,9,8791030701,50,1990,9,4,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,261,60.05,-147.23,185,185,15,14.1,5.6,630,276-176,9/4/90 0:00,58,3
11010850,8827020101,3,8842120000,51,1990,9,5,GOA,Anoplopoma fimbria (sablefish),Stichaeidae (prickleback) ,83,199001,266,59.93,-145.07,152,152,18,13.8,5.7,640,302-173,9/5/90 0:00,52,3
11010851,8827020101,3,8762140501,65,1990,9,6,GOA,Anoplopoma fimbria (sablefish),Northern lampfish Stenobrachius leucopsarus,83,199001,267,59.54,-144.97,210,210,11,13.5,5.7,640,303-165,9/6/90 0:00,78.6,3
11012547,8827020101,6,8791030701,70,1990,9,8,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,83,199001,274,59.01,-149.78,227,227,10,12.2,,630,245-154,9/8/90 0:00,152,3
11013091,8827020101,11,8791030701,57,1993,6,8,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,90,199301,15,53.61,-165.51,251,251,19,6.6,5.4,610,54-32,6/8/93 0:00,324,7
11010902,8827020101,5,8793010000,61,1990,7,1,GOA,Anoplopoma fimbria (sablefish),Zoarcidae (eelpout) ,19,199001,90,55.28,-158.67,198,198,9,9.5,,620,137-71,7/1/90 0:00,65,3
11013094,8827020101,6,8791030701,47,1993,6,9,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,90,199301,18,53.69,-164.72,234,234,13,7.4,5.3,610,64-34,6/9/93 0:00,224,7
11013871,8827020101,7,8791030701,58,1993,6,27,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,90,199301,90,54.48,-159.26,181,181,11,9,5.3,610,130-53,6/27/93 0:00,259,7
11010725,8827020101,3,8791030701,73,1993,7,7,GOA,Anoplopoma fimbria (sablefish),Walleye pollock Gadus chalcogrammus,90,199301,135,56.19,-156.43,247,247,7,9.1,5.3,620,164-92,7/7/93 0:00,321,
11010902,8827020101,5,8755030501,61,1990,7,1,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,19,199001,90,55.28,-158.67,198,198,9,9.5,,620,137-71,7/1/90 0:00,72,3
11010902,8827020101,6,8755030501,52,1990,7,1,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,19,199001,90,55.28,-158.67,198,198,9,9.5,,620,137-71,7/1/90 0:00,67.5,3
11010902,8827020101,6,8755030501,52,1990,7,1,GOA,Anoplopoma fimbria (sablefish),Eulachon Thaleichthys pacificus ,19,199001,90,55.28,-158.67,198,198,9,9.5,,620,137-71,7/1/90 0:00,87,3
