Hauljoin,Pred_nodc,Pred_specn,Prey_nodc,Pred_len,Year,Month,day,region,Pred_name,Prey_Name,Vessel,Cruise,Haul,Rlat,Rlong,Gear_depth,Bottom_depth,Start_hour,Surface_temp,Gear_temp,INPFC_Area,Stationid,Start_date,Prey_sz1,Prey_sex
11012343,8791030701,13,8831090000,57,1990,7,12,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,19,199001,143,55.87,-156.07,150,150,18,8.9,,620,169-85,7/12/90 0:00,10.7,3
11012343,8791030701,13,8831090000,57,1990,7,12,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,19,199001,143,55.87,-156.07,150,150,18,8.9,,620,169-85,7/12/90 0:00,11,3
11010849,8791030701,59,8857040601,48,1990,9,5,GOA,Gadus chalcogrammus (walleye pollock),Flathead sole Hippoglossoides elassodon,83,199001,265,60.16,-145.53,95,95,14,13.9,6,640,296-178,9/5/90 0:00,66,
11011059,8791030701,1,8857040102,39,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Arrowtooth flounder Atheresthes stomias,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,29.5,3
11011059,8791030701,5,8842120903,30,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Daubed shanny Leptoclinus maculatus,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,55.5,3
11011059,8791030701,5,8842120903,30,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Daubed shanny Leptoclinus maculatus,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,61.8,3
11011059,8791030701,5,8842120903,30,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Daubed shanny Leptoclinus maculatus,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,61.4,3
11011059,8791030701,5,8842120903,30,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Daubed shanny Leptoclinus maculatus,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,55.5,3
11011059,8791030701,6,8857040102,28,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Arrowtooth flounder Atheresthes stomias,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,13.4,3
11011059,8791030701,59,8842120903,28,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Daubed shanny Leptoclinus maculatus,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,76,
11011059,8791030701,59,8842120000,28,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Stichaeidae (prickleback) ,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,62,
11011059,8791030701,59,8842120000,28,1990,9,7,GOA,Gadus chalcogrammus (walleye pollock),Stichaeidae (prickleback) ,83,199001,272,59.62,-146.6,97,97,16,14.1,6.2,640,283-167,9/7/90 0:00,66,
11012551,8791030701,3,8791030701,52,1990,9,9,GOA,Gadus chalcogrammus (walleye pollock),Walleye pollock Gadus chalcogrammus,83,199001,279,58.38,-151.53,166,166,18,11.1,6,630,224-141,9/9/90 0:00,77.6,3
11012551,8791030701,8,8755030201,48,1990,9,9,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,83,199001,279,58.38,-151.53,166,166,18,11.1,6,630,224-141,9/9/90 0:00,95,3
11012551,8791030701,15,8826010100,48,1990,9,9,GOA,Gadus chalcogrammus (walleye pollock),Scorpaenidae (rockfish) Sebastes sp.,83,199001,279,58.38,-151.53,166,166,18,11.1,6,630,224-141,9/9/90 0:00,32.5,3
11012575,8791030701,9,8762140000,41,1993,6,6,GOA,Gadus chalcogrammus (walleye pollock),Myctophidae (lanternfish) ,90,199301,3,52.66,-169.44,249,249,11,6.4,4.6,610,8-Jul,6/6/93 0:00,74,
11012575,8791030701,9,8762140000,41,1993,6,6,GOA,Gadus chalcogrammus (walleye pollock),Myctophidae (lanternfish) ,90,199301,3,52.66,-169.44,249,249,11,6.4,4.6,610,8-Jul,6/6/93 0:00,38,
11013098,8791030701,7,8857040102,46,1993,6,10,GOA,Gadus chalcogrammus (walleye pollock),Arrowtooth flounder Atheresthes stomias,90,199301,22,53.9,-163.73,80,80,7,7.3,4.8,610,76-39,6/10/93 0:00,16,
11013098,8791030701,7,8857040102,46,1993,6,10,GOA,Gadus chalcogrammus (walleye pollock),Arrowtooth flounder Atheresthes stomias,90,199301,22,53.9,-163.73,80,80,7,7.3,4.8,610,76-39,6/10/93 0:00,28,
11014709,8791030701,4,8755030201,30,1993,6,14,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,46,54.62,-163.13,90,90,7,7.4,4.9,610,83-56,6/14/93 0:00,50,
11013639,8791030701,2,8857000000,55,1993,6,17,GOA,Gadus chalcogrammus (walleye pollock),Pleuronectoidei (flatfish) ,90,199301,61,54.47,-162.23,146,146,12,8.4,4.6,610,94-52,6/17/93 0:00,23,
11013867,8791030701,1,8755030201,65,1993,6,22,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,81,54.87,-160.77,91,91,20,8.9,5.2,610,112-62,6/22/93 0:00,39,
11014711,8791030701,1,8755030201,51,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,64,
11014711,8791030701,4,8793010000,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Zoarcidae (eelpout) ,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,44,
11014711,8791030701,6,8755030201,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,40,
11014711,8791030701,6,8755030201,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,58,
11014711,8791030701,6,8755030201,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,60,
11014711,8791030701,6,8755030201,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,53,
11014711,8791030701,6,8755030201,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,62,
11014711,8791030701,10,8755030201,56,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,59,
11014711,8791030701,12,8755030201,52,1993,6,23,GOA,Gadus chalcogrammus (walleye pollock),Capelin Mallotus villosus,90,199301,82,55.54,-160.74,29,29,7,9.1,6.5,610,112-77,6/23/93 0:00,63,
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,21.7,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,20.4,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,22.3,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,19.8,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,21.4,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,19.9,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,21.4,3
11010827,8791030701,4,8831090000,49,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,19.6,3
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,21,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,27,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,15,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,19,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,20,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,22,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,25,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,26,
11010827,8791030701,51,8831090000,47,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,24,
11010827,8791030701,52,8831090000,54,1990,8,27,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,83,199001,238,58.92,-151.25,161,161,17,13.2,5.4,630,227-152,8/27/90 0:00,23,
11012343,8791030701,13,8831090000,57,1990,7,12,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,19,199001,143,55.87,-156.07,150,150,18,8.9,,620,169-85,7/12/90 0:00,10.5,3
11012343,8791030701,13,8831090000,57,1990,7,12,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,19,199001,143,55.87,-156.07,150,150,18,8.9,,620,169-85,7/12/90 0:00,10.2,3
11012348,8791030701,5,8831090000,65,1990,7,15,GOA,Gadus chalcogrammus (walleye pollock),Cyclopteridae (snailfish) ,19,199001,155,55.5,-156.3,212,212,13,10.3,,620,166-77,7/15/90 0:00,15.4,3
