YearHeader,Station,Purpose,Date,Stlkey,Year,O32_count,O32_weight,U32_weight,U32_count,Effective_skates_hauled,Max_depth_fm,Min_depth_fm,AvgNo_hook_skate,No_skates_hauled,Statarea,Year_Created,Total_halibut_count,Total_net_weight,Lat _Grid_target,Lon_Grid_target,Lat_fished,Lon_fished,Number_Records
1998,4204,Standard grid,23-Aug-98,19980140,1998,149,"2,934","2,334",274,6.75,45,39,84,8,260,1998,423,"5,268",58.333,-149.85,58 19.66,149 50.48,1
1998,4205,Standard grid,21-Aug-98,19980136,1998,122,"2,420",677,77,6.67,29,26,83,8,260,1998,199,"3,097",58.333,-150.167,58 20.01,150 09.84,1
1998,4277,Standard grid,11-Aug-98,19980484,1998,102,"2,257",205,23,6.68,66,38,95,7,260,1998,125,"2,462",58.333,-151.433,58 20.00,151 25.77,1
1998,4366,Standard grid,9-Jul-98,19981075,1998,131,"2,213","1,535",184,6.96,41,35,99,7,261,1998,315,"3,748",59.333,-152.15,59 20.05,152 08.83,1
1998,4306,Standard grid,15-Aug-98,19981130,1998,87,"1,119","1,765",198,6.89,35,35,98,7,280,1998,285,"2,884",56.833,-152.883,56 50.02,152 53.12,1
1998,4213,Standard grid,20-Aug-98,19980131,1998,74,"1,047","1,316",152,6.67,49,44,83,8,260,1998,226,"2,362",58.5,-150.483,58 29.87,150 28.98,1
1998,5129,Standard grid,21-Jul-98,19980496,1998,105,"2,618","2,136",293,6.96,51,49,99,7,310,1998,398,"4,754",55.667,-158.683,55 39.90,158 41.00,1
1998,4264,Standard grid,9-Aug-98,19980478,1998,89,"3,031",228,26,6.82,46,44,98,7,260,1998,115,"3,259",58,-151.1,57 59.92,151 05.94,1
1998,3048,Standard grid,3-Jul-98,19980765,1998,46,"1,083",908,122,6.67,67,63,83,8,150,1998,168,"1,992",55.333,-134.017,55 20.05,134 00.98,1
1998,4375,Standard grid,29-Jun-98,19981063,1998,80,"1,283",932,118,6.96,29,28,100,7,261,1998,198,"2,215",59.833,-152.183,59 49.83,152 11.21,1
1998,5107,Standard grid,25-Jul-98,19980505,1998,198,"4,641","1,935",228,7.03,45,44,100,7,310,1998,426,"6,576",55.167,-157.817,55 09.86,157 48.98,1
1998,4298,Standard grid,10-Aug-98,19981124,1998,137,"2,689","2,054",236,7.03,38,37,100,7,280,1998,373,"4,743",56.667,-152.867,56 39.98,152 52.04,1
1998,4254,Standard grid,24-Jul-98,19980449,1998,89,"2,013",390,43,6.96,47,45,99,7,260,1998,132,"2,403",57.833,-150.783,57 49.95,150 46.48,1
1998,4255,Standard grid,23-Jul-98,19980447,1998,59,"1,837",469,54,6.96,38,36,99,7,270,1998,113,"2,306",57.833,-151.1,57 50.01,151 05.80,1
1998,4296,Standard grid,1-Aug-98,19981111,1998,100,"2,234",538,68,7.03,33,20,100,7,280,1998,168,"2,773",56.667,-152.25,56 40.09,152 14.99,1
1998,4270,Standard grid,25-Jul-98,19980452,1998,120,"2,850",257,28,6.89,70,56,99,7,260,1998,148,"3,106",58.167,-150.483,58 09.91,150 28.88,1
1998,4257,Standard grid,4-Aug-98,19980469,1998,12,469,36,4,6.89,30,26,99,7,270,1998,16,505,57.833,-151.717,57 50.00,151 42.93,1
1998,4310,Standard grid,21-Aug-98,19981139,1998,57,"2,412",298,35,7.03,44,44,100,7,280,1998,92,"2,711",57,-151.983,56 59.86,151 59.20,1
1998,4246,Standard grid,30-Jul-98,19980468,1998,36,"1,080",648,77,6.82,59,46,98,7,260,1998,113,"1,727",57.667,-150.467,57 40.00,150 27.80,1
1998,5106,Standard grid,31-Jul-98,19980514,1998,245,"6,233","1,008",121,7.03,48,47,100,7,310,1998,366,"7,241",55.167,-157.533,55 09.98,157 32.04,1
1998,4303,Standard grid,31-Jul-98,19981109,1998,212,"6,199","1,225",143,6.89,48,41,98,7,280,1998,355,"7,424",56.833,-151.967,56 50.05,151 57.86,1
1998,5113,Standard grid,26-Jul-98,19980506,1998,69,"1,434","2,259",312,7.03,46,45,100,7,310,1998,381,"3,693",55.333,-157.817,55 19.85,157 48.98,1
1998,5218,Standard grid,9-Jul-98,19980599,1998,136,"2,634","1,496",184,6.96,57,54,99,7,320,1998,320,"4,130",54.667,-160.433,54 40.03,160 25.99,1
1998,5133,Standard grid,20-Jul-98,19980492,1998,146,"4,007","1,472",201,6.89,53,43,98,7,310,1998,347,"5,480",55.833,-158.083,55 50.36,158 05.00,1
1998,4291,Standard grid,2-Aug-98,19981114,1998,288,"5,192","1,059",117,6.96,31,26,99,7,280,1998,405,"6,251",56.5,-152.85,56 30.12,152 51.48,1
1998,5123,Standard grid,9-Aug-98,19980529,1998,125,"2,999","1,294",164,7.03,50,49,100,7,300,1998,289,"4,293",55.667,-156.917,55 40.02,156 54.86,1
1998,4371,Standard grid,2-Jul-98,19981071,1998,86,"1,194","1,966",247,6.96,26,22,99,7,261,1998,333,"3,160",59.5,-152.15,59 29.68,152 08.72,1
1998,4304,Standard grid,11-Aug-98,19981127,1998,265,"6,439",746,88,6.96,55,50,99,7,280,1998,353,"7,185",56.833,-152.267,56 49.98,152 16.12,1
1998,5109,Standard grid,10-Aug-98,19980532,1998,182,"3,419","1,606",200,7.03,67,65,100,7,300,1998,382,"5,024",55.333,-156.65,55 19.72,156 39.03,1
1998,4256,Standard grid,4-Aug-98,19980470,1998,53,998,269,30,6.96,29,29,100,7,270,1998,83,"1,267",57.833,-151.4,57 49.84,151 23.81,1
1998,5110,Standard grid,10-Aug-98,19980533,1998,131,"2,842","1,818",232,7.03,52,51,100,7,300,1998,363,"4,660",55.333,-156.933,55 20.22,156 55.97,1
1998,3030,Standard grid,25-Jun-98,19981167,1998,107,"3,749",975,137,7.03,56,55,100,7,140,1998,244,"4,724",55,-133.717,55 00.07,133 42.97,1
