Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Length (mm),Number of Males,Number of Females,Number Unsexed,Total Number
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,320,37332,0,0,37332
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,340,18666,0,0,18666
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,350,0,18666,0,18666
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,360,13410,0,0,13410
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,370,164681,322092,0,486773
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,380,0,775907,0,775907
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,390,151272,0,0,151272
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,400,169938,322092,0,492029
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,410,492029,966275,0,1458304
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,420,1660317,644183,0,2304501
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,430,1950334,694925,0,2645258
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,440,4458612,1938056,0,6396668
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,450,2241552,4759391,0,7000943
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,460,2242434,5878952,0,8121386
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,470,1697719,2125597,0,3823316
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,480,2495119,3327975,0,5823094
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,490,531376,1188156,0,1719532
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,500,334619,1656263,0,1990882
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,510,670120,559077,0,1229197
1,2017-09-25 17:29:30,GOA,1984,21740,walleye pollock,Gadus chalcogrammus,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,520,55998,442240,0,498238
