CRUISEJOIN,HAULJOIN,REGION,VESSEL,CRUISE,HAUL,SPECIMENID,BIOSTRATUM,SPECIES_CODE,LENGTH,SEX,WEIGHT,AGE,MATURITY,MATURITY_TABLE,GONAD_WT,AUDITJOIN,SPECIMEN_SUBSAMPLE_METHOD,SPECIMEN_SAMPLE_TYPE,AGE_DETERMINATION_METHOD
784787,784457,GOA,90,199301,6,1,111,21740,540,2,1295,5,,,,681503,5,1,1
784787,784457,GOA,90,199301,6,2,111,21740,520,2,1035,5,,,,681504,5,1,1
784787,784457,GOA,90,199301,6,3,111,21740,520,2,1110,5,,,,680736,5,1,1
784787,784457,GOA,90,199301,6,4,111,21740,490,2,888,4,,,,681505,5,1,1
784787,784457,GOA,90,199301,6,5,111,21740,500,2,850,6,,,,681506,5,1,1
784787,784457,GOA,90,199301,6,6,111,21740,500,2,825,5,,,,681507,5,1,1
784787,784457,GOA,90,199301,6,7,111,21740,480,2,955,5,,,,681508,5,1,1
784787,784457,GOA,90,199301,6,8,111,21740,510,2,991,5,,,,681509,5,1,1
784787,784457,GOA,90,199301,6,9,111,21740,540,2,1030,10,,,,681510,5,1,1
784787,784457,GOA,90,199301,6,10,111,21740,480,2,768,4,,,,681511,5,1,1
784787,784457,GOA,90,199301,6,11,111,21740,420,2,660,4,,,,681512,5,1,1
784787,784457,GOA,90,199301,6,12,111,21740,430,2,735,3,,,,681513,5,1,1
784787,784457,GOA,90,199301,6,13,111,21740,580,2,1320,12,,,,681514,5,1,1
784787,784457,GOA,90,199301,6,14,111,21740,490,2,910,5,,,,681515,5,1,1
784787,784457,GOA,90,199301,6,15,111,21740,460,2,610,4,,,,680737,5,1,1
784787,784457,GOA,90,199301,6,16,111,21740,530,2,1030,8,,,,681516,5,1,1
784787,784457,GOA,90,199301,6,17,111,21740,430,2,660,4,,,,681517,5,1,1
784787,784457,GOA,90,199301,6,18,111,21740,460,2,740,5,,,,681518,5,1,1
784787,784457,GOA,90,199301,6,19,111,21740,470,2,810,6,,,,681519,5,1,1
784787,784457,GOA,90,199301,6,20,111,21740,530,2,1125,5,,,,681520,5,1,1
784787,784457,GOA,90,199301,6,21,111,21740,450,2,640,5,,,,681521,5,1,1
784787,784457,GOA,90,199301,6,22,111,21740,470,2,895,6,,,,681522,5,1,1
784787,784457,GOA,90,199301,6,23,111,21740,570,2,1205,8,,,,681523,5,1,1
784787,784457,GOA,90,199301,6,24,111,21740,440,2,615,4,,,,680738,5,1,1
784787,784457,GOA,90,199301,6,25,111,21740,610,2,1495,15,,,,681524,5,1,1
784787,784457,GOA,90,199301,6,26,111,21740,450,2,805,4,,,,681525,5,1,1
784787,784457,GOA,90,199301,6,27,111,21740,440,2,600,4,,,,681526,5,1,1
784787,784457,GOA,90,199301,6,28,111,21740,420,2,645,4,,,,681527,5,1,1
784787,784457,GOA,90,199301,6,29,111,21740,510,2,1140,5,,,,681528,5,1,1
784787,784457,GOA,90,199301,6,30,111,21740,600,2,1535,8,,,,681529,5,1,1
784787,784457,GOA,90,199301,6,31,111,21740,600,2,1305,11,,,,681530,5,1,1
784787,784457,GOA,90,199301,6,32,111,21740,560,2,1075,7,,,,681708,5,1,1
784787,784457,GOA,90,199301,6,33,111,21740,590,2,1600,11,,,,681709,5,1,1
784787,784457,GOA,90,199301,6,34,111,21740,590,2,1355,11,,,,681710,5,1,1
784787,784457,GOA,90,199301,6,35,111,21740,540,1,1105,8,,,,681711,5,1,1
784787,784457,GOA,90,199301,6,36,111,21740,450,1,655,4,,,,681712,5,1,1
784787,784457,GOA,90,199301,6,37,111,21740,470,1,780,5,,,,680739,5,1,1
784787,784457,GOA,90,199301,6,38,111,21740,490,1,875,4,,,,681713,5,1,1
784787,784457,GOA,90,199301,6,39,111,21740,560,1,1145,16,,,,681714,5,1,1
784787,784457,GOA,90,199301,6,40,111,21740,470,1,825,4,,,,681715,5,1,1
784787,784457,GOA,90,199301,6,41,111,21740,480,1,890,5,,,,681716,5,1,1
784787,784457,GOA,90,199301,6,42,111,21740,460,1,770,5,,,,681717,5,1,1
